propertyName,zoneGuid,zoneName,rateHourly,rateDaily,rateEvening,rateFull,commuter,eveningsWeekends
33 Killarney Avenue,0B06964E-C349-4BD1-8D92-EF8CF4BC3733,33 Killarney Avenue - Uncovered,1,5,2,0,0,0
199 Langside St.,1A5558F0-C369-42F2-9B18-6BFD5C75BE5D,199 Langside Street - Uncovered,1,5,3,1,1,1
1661 Portage Ave - Paid Daily + Monthly ,FEE9892B-5075-4B95-A0C2-44B4A767B065,Visitor Parking - More than 2 hours ,1,6,0,1,1,50
176 Smith St. ,0F120B28-268F-465F-92A5-C803854B0D30,176 Smith St. - Evenings and Weekends,6,0,18,0,0,0
875 Notre Dame Ave. ,D06B4AE0-8ED6-4835-BCCF-369746FB7039,875 Notre Dame Avenue - Standard Uncovered,1,5,2,0,0,0
297 Enfield Cres,D9C33EC1-75D7-4D60-B777-49C9165928B7,297 Enfield Crescent - Uncovered,3,5,2,50,35,35
462 Hargrave St. ,A8CE964C-0118-459B-B3C2-13C064D9E2E9,462 Hargrave St. - Alana 10,3,0,0,1,50,1
80 Balmoral St. ,3D9FCC8B-D93F-4F4A-A990-4CB1E6BF9F39,80 Balmoral Street - Uncovered,1,6,3,115,95,25
1661 Portage Ave - Paid Daily + Monthly ,9AE4C608-0BCA-4DFF-8BF0-1E42017E900F,1661 Portage Ave. - Scramble with Plug,3,0,0,70,1,1
1661 Portage Ave - Paid Daily + Monthly ,CE4DB0FD-042D-493E-87C4-17EC3ED9E2DA,1661 Portage Ave - Scramble Plug - Paid,3,0,0,1,70,1
765 Ellice Ave,1D03CB5B-7553-4214-81C3-ECFDB574E1D4,765 Ellice Avenue - Uncovered,1,5,2,0,0,0
1777 St. Mary's Road,9D4CA52E-DA55-41B1-BE90-8CC78EC9F74D,1777 St. Mary's Road - Visitor Parking,0,0,5,0,0,0
40 Hargrave Street,4DB4A47A-F1C6-4ACC-AA41-5FCA8113AE62,40 Hargrave Street - Uncovered,1,5,2,120,90,60
20 Lyndale Drive,F1A38E92-0329-4E9B-B6CE-4F288DF4432D,20 Lyndale Drive - Uncovered | Hourly,1,5,2,0,0,0
FAKE,600F8524-72E3-427A-A18C-2476DF94026D,fake,3,0,0,0,0,0
339 Cumberland Ave,B5F610EB-2030-4C5B-8CE2-9B4FEA54AA3B,Evenings and Weekends - Guest Checkout,2,1,5,0,0,0
139 Tuxedo,B6CFE28E-0C9B-42F8-935E-8F56DD86E037,139 Tuxedo - Do Not Book,20,0,0,0,0,0
1661 Portage Ave - Paid Daily + Monthly ,3185FDC5-E9D1-4452-BB1D-5A9F3745DF19,1661 Portage Ave - CBCGA Bulk Pay,3,0,0,820,1,1
250 Thomas Berry St.,EDD0F596-68A0-4203-B7E6-05C00F1C6CF3,250 Thomas Berry Street - Uncovered,1,5,2,99,75,25
1661 Portage Ave - Paid Daily + Monthly ,1A424207-0F5E-49E0-A51E-03D6F11335DA,1661 Portage ave - CPSM Bulk pay,3,0,0,3845,1,1
126 Bryce Street,8BB98C37-7A43-4E48-ACE3-C1183315EFD2,126 Bryce St. - Uncovered,1,7,4,126,90,70
391 Gertrude,1B829EEE-511D-4073-9718-34816A3E6729,391 Gertrude - Uncovered,1,5,2,0,0,0
80 Lombard ave.,E53BB96A-AF20-4CB7-9427-809F5A811FC6,80 Lombard Avenue - Motorcycle Parking,2,10,8,1,1,1
41(B) Balmoral Street Winnipeg,FF5696CB-B7FF-4807-86A8-C0D29A5CB94E, 41(B) Balmoral Street - Uncovered,1,5,2,115,95,25
215 McLean Ave,3612CEB0-3DAC-404A-A6F4-2C7AEBCB0BE3,215 McLean Avenue - Uncovered,1,5,2,0,0,0
648 Sherbrook,7C5B3229-9EFA-4B9F-9182-53C110C62BE6,648 Sherbrook - Uncovered,1,5,2,80,65,40
1661 Portage Ave - Paid Daily + Monthly ,720FAD7B-DDD5-4811-BC69-9AA249B5429E,1661 Portage Ave - Portage Mutual Bulk pay,3,0,0,140,1,1
520 William Avenue,C49525C2-A7F1-4209-8BDD-6A18784C2337,520 William Avenue - Uncovered,1,5,2,1,65,1
400 Tache Ave,16149241-9455-4A4C-A3F4-9033A1849C33,Blue Zone - PRE-BOOK,4,17.5,3,1,1,50
828 Silverstone Avenue,35D6B216-0C3A-4A5F-A81D-1C7EE26CED22,828 Silverstone Avenue - Uncovered,1,5,2,1,45,1
396 Stradbrook Ave,33F1A861-9F50-48B9-BE0F-23C458DFFF72,396 Stradbrook Avenue - Uncovered,1,5,2,99,75,45
207 Carlton St. - Monthly,5B66846F-182D-4219-8784-5BD368C68E59,207 Carlton St. - CHURCH USE ,0,0,0,0,0,0
94 Roslyn Rd,9932C4AE-185C-4FAF-A85B-AF3DBF8440FF,94 Roslyn Road - Monthly Parking,1,5,2,99,75,25
324 Young St.,F53E5DD7-A313-4251-A129-9513CFD098E5,324 Young Street - Uncovered ,1,5,5,0,0,0
499 Osborne St.,747E560F-F11E-41AA-BB11-632E50C72B01,499 Osborne Street - Uncovered,3,1,1,1,1,1
395 Wardlaw Ave,25A5F9BB-603A-4D79-A24E-953E78897250,395 Wardlaw Avenue - Uncovered,1,5,2,0,0,0
668 Corydon Ave. ,E0479F9B-FB42-4506-AB5D-734B4A045FC1,668 Corydon Ave. - Uncovered,1,5,10,70,50,35
363 William Ave,8042870D-AAB6-473B-8B07-71270B21ADEA,363 William Ave - Monthly Reserved,4,14,4,260,195,100
66 Carlton Street,900FD77D-BED2-4597-BB83-16D436D521FD,66 Carlton Street - Uncovered,1,5,2,0,0,0
284 Notre Dame Street,C5D79BA5-F402-4614-9123-3F699020A8C0,284 Notre Dame Street - Uncovered,3,1,1,1,1,1
226 Grassie Blvd.,32F058CA-DCF1-449E-AB23-FAD0AA84E259,226 Grassie Blvd. - Lot Management,3,0,0,0,0,0
825 Corydon,01125CCC-BDF9-4F5E-98A5-D5429E1630D8,825 Corydon - Uncovered,1,5,2,0,0,0
475 Berry St,E17754C2-C695-4241-8A95-A48A7EB32025,475 Berry Street - Uncovered,1,5,2,1,1,25
36 Carlton Street,AEC63F2C-3A28-4752-AC6D-ACF98E73847A,36 Carlton Street - Uncovered,1,5,2,0,0,0
Winnipeg Rowing Club - Hourly,32D5F84C-4408-478E-B2F7-880FD002E02F,Standard Uncovered - Hourly,1,5,2,0,0,0
441 Carlton St. ,7DDDD68E-B3A6-4B44-B858-538F67A3C906,441 Carlton St. - Uncovered,2,5,5,100,75,50
53 Southpark Drive,3781CDD0-22DD-4211-B606-7BFFDF6ACBDC,53 Southpark Drive - Guest Parking,3,0,0,0,0,0
207 Carlton St. ,E83BD8C5-6F71-4D95-AF6C-F072E2EAC9A9,207 Carlton St. - Event Prebooking,7.5,18,17,0,0,0
1241 Grant Ave,B4AD1E4D-0BC0-4073-A701-1CC4859E9E26,1241 Grant Ave - Uncovered,1,5,2,0,0,0
1661 Portage Ave - Paid Daily + Monthly ,215CF8D7-5DA3-46FE-9B22-FF39810AC751,1661 Portage Ave - Scramble no plug Paid,3,0,0,65,1,1
294 Stradbrook Ave,B80F1FBB-52A0-45F3-BB2A-F58EF5DD1544,294 Stradbrook Avenue - Uncovered,1,5,2,0,0,0
308 Colony St.,AB239D22-611F-4481-B7A4-5E36BA389EDD,308 Colony Street - Uncovered,3,8,10,110,90,50
853 Bannatyne Ave.,041E785E-14DC-4F17-A73D-BDB5802D5E1E,853 Bannatyne Avenue - Standard Uncovered,1,5,2,0,0,0
160 Furby Street,CE39D828-25A7-4FE0-962D-09878D7E9905,160 Furby St. - Uncovered,3,1,1,1,1,1
53 Carlton Street,B8C3D563-D2B5-4DCE-8498-D35EB2AE0761,53 Carlton Street - Uncovered,1,5,2,0,0,0
584 McMillan Ave,69481A0A-2C33-4876-BE33-99CFE1EAF528,584 McMillan Avenue - Uncovered,1,5,2,75,50,35
7 & 11 Evergreen Towers - Visitors Only ,5FC1929A-B582-44B9-9C01-1BB43B31446A,7 & 11 Evergreen Place - Uncovered,0,0,10,0,0,0
680 Sherbrook St.,E8B40AC1-85C8-4444-A245-1D21F7BF4931,680 Sherbrook Street - Uncovered,1,5,4,70,55,40
257 Toronto,8186EBD8-A23A-4A6E-9A82-FF449F03B917,257 Toronto - Uncovered,1,5,2,0,0,0
1661 Portage Ave - Paid Daily + Monthly ,AEC4ADF3-C13A-4671-85DF-56F7D252E091,1661 Portage Ave - Oral Surgery Centre Bulk pay,3,0,0,375,1,1
246 Lilac St.,45903DC1-C22E-4E4D-8502-C5ECA30AC164,246 Lilac Street - Uncovered,1,1,10,0,0,0
280 Garry St. ,677E53AA-0694-4548-9AC8-C7C4DB9EC9CE,280 Garry St. - Scramble Parking,4,12,8,0,0,0
800 Beverley Street,168AC704-0F61-4AE5-93C3-8FB57A243B5A,800 Beverley Street - Uncovered,1,5,2,0,0,0
535 Corydon Ave,08E43473-F8B6-45B2-B571-B299AD8AA38D,535 Corydon Avenue - Uncovered,1,5,2,0,0,0
176 Smith St. ,C6EBD46D-4EF4-474A-849C-12ED92870687,176 Smith St. - 24/7,6,18,18,0,0,0
70 Southpark Drive,716BCD43-4551-4526-AF03-65E26CBE974D,70 Southpark Drive - Guest Parking,1,0,0,0,0,0
439 Berry St. ,0A555AEC-A825-42BA-90B6-476225F25207,439 Berry Street - Uncovered,1,5,2,0,0,0
271 Furby St.,CDE2FEC1-920F-4071-9579-4E260E593E85,271 Furby Street - Uncovered,1,1,1,70,50,35
115 Bannatyne Ave. ,CF5EEEE1-BB5A-4DFC-98FE-AAEE13A375F8,115 Bannatyne Ave. - Uncovered,1,6,3,1,1,99
1661 Portage Ave - Paid Daily + Monthly ,1B71B371-299C-44DF-AF82-A82BCBA474FA,1661 Portage Ave - Unpaid,3,0,0,1,1,1
616 Strathcona St.,DDFD6B32-4E1D-4AC5-9E0B-7813E6921AA7,616 Strathcona Street - Guest Parking,1,0,0,0,0,0
